ERM ID,Material type,Core size (nm),Method core size,Hydro size (nm),Method hydro size,Surface charge (mV),Method surface charge,Surface area (m2/g),Method surface area,_Hsf (eV),Ec (eV),Ev (eV),_MeO (eV),Assay,Cell name,Cell species,Exposure time,Exposure dose (ug/mL),Viability (%),Toxicity,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84
ERM00000285,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,ATP,BEAS-2B,Human,24h,25.0,86.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,30.0,,1843.0,,-30.8,,69.0,,-9.779,-4.16,-7.49,5.77,,A549,Cancer,72,1e-05,101.5761,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000285,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,LDH,BEAS-2B,Human,24h,50.0,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,35.6,,236.0,,-41.6,,27.9,,-3.608,-3.89,-7.2,5.67,,Caco2,Cancer,24,0.1,86.8566,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,33.7,,308.0,,-25.3,,42.5,,-9.779,-4.16,-7.49,5.77,,Caco2,Cancer,48,1.0,101.839,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,60.0,,936.0,,-2.4,,7.34,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,24,10.0,81.297,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,32.0,,1093.0,,21.6,,37.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,72,50.0,4.3035,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,52.0,,640.0,,29.4,,15.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,12,1.56,111.2295,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,35.0,,1814.0,,-35.5,,66.0,,-9.779,-4.16,-7.49,5.77,,A549,Cancer,12,12.5,105.284,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fe2O3,42.5,,957.0,,-8.2,,82.8,,-8.512,-4.99,-6.99,5.98,,HCMEC,Normal,12,10.0,100.7792,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,228.3,,-10.7,,40.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,120.0,112.47,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000299,ZnO,22.6,TEM,69.4,DLS,28.8,Zeta-potential,47.4,Estimation,-3.608,-3.89,-7.2,5.67,LDH,RAW264.7,Mouse,24h,100.0,35.2,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,274.9,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,LDH,BEAS-2B,Human,24h,0.4,93.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,1e-05,100.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000290,NiO,13.1,TEM,189.5,DLS,27.6,Zeta-potential,68.7,Estimation,-2.494,-3.57,-7.45,5.74,LDH,RAW264.7,Mouse,24h,0.8,86.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,RAW264.7,Mouse,24h,50.0,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,6,40.0,110.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,RAW264.7,Mouse,24h,0.4,92.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,248.4,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,ATP,RAW264.7,Mouse,24h,200.0,90.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fe2O3,42.5,,957.0,,-8.2,,82.8,,-8.512,-4.99,-6.99,5.98,,HCMEC,Normal,12,0.1,96.3636,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,196.6,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,RAW264.7,Mouse,24h,1.6,84.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,259.8,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,LDH,BEAS-2B,Human,24h,0.4,88.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,3,120.0,106.7797,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,280.6,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,LDH,RAW264.7,Mouse,24h,3.2,99.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000290,NiO,13.1,TEM,189.5,DLS,27.6,Zeta-potential,68.7,Estimation,-2.494,-3.57,-7.45,5.74,LDH,RAW264.7,Mouse,24h,3.2,87.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,24,20.0,93.2207,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,7.5,,795.0,,27.4,,90.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,12,3.13,84.878,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,33.7,,308.0,,-25.3,,42.5,,-9.779,-4.16,-7.49,5.77,,Caco2,Cancer,24,0.1,100.0152,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000281,CoO,71.8,TEM,208.3,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,ATP,BEAS-2B,Human,24h,6.3,80.9,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,32.0,,1093.0,,21.6,,37.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,72,12.5,11.7517,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,35.0,,1814.0,,-35.5,,66.0,,-9.779,-4.16,-7.49,5.77,,A549,Cancer,72,6.25,76.5942,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000281,CoO,71.8,TEM,208.3,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,LDH,BEAS-2B,Human,24h,12.5,89.4,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,RAW264.7,Mouse,24h,25.0,95.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000289,Mn2O3,51.5,TEM,291.7,DLS,-46.1,Zeta-potential,25.9,Estimation,-9.917,-4.65,-7.63,5.92,LDH,RAW264.7,Mouse,24h,100.0,46.1,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,196.6,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,RAW264.7,Mouse,24h,3.2,96.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,RAW264.7,Mouse,24h,1.6,81.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,60.0,,936.0,,-2.4,,7.34,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,24,20.0,23.4014,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,3,10.0,101.9783,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000293,SiO2,13.5,TEM,46.4,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,ATP,RAW264.7,Mouse,24h,0.8,82.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,86.0,,687.0,,31.3,,7.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,24,3.13,86.7213,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000289,Mn2O3,51.5,TEM,291.7,DLS,-46.1,Zeta-potential,25.9,Estimation,-9.917,-4.65,-7.63,5.92,ATP,RAW264.7,Mouse,24h,200.0,11.3,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,RAW264.7,Mouse,24h,100.0,86.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,6,20.0,81.0811,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,195.5,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,LDH,RAW264.7,Mouse,24h,1.6,80.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,259.8,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,ATP,BEAS-2B,Human,24h,3.2,80.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,228.3,,-10.7,,40.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,40.0,95.67,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Al2O3,39.7,,267.0,,36.3,,64.7,,-17.345,-1.51,-9.81,5.67,,HCMEC,Normal,12,50.0,94.3966,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000288,La2O3,24.6,TEM,162.6,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,LDH,RAW264.7,Mouse,24h,0.4,95.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,261.6,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,ATP,BEAS-2B,Human,24h,3.2,96.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,195.5,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,LDH,RAW264.7,Mouse,24h,200.0,80.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,40.0,,322.3,,-25.27,,50.0,,-9.779,-4.16,-7.49,5.77,,L02,Normal,12,1.0,93.9,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,280.6,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,LDH,RAW264.7,Mouse,24h,50.0,84.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Al2O3,39.7,,267.0,,36.3,,64.7,,-17.345,-1.51,-9.81,5.67,,HCMEC,Normal,12,5.0,99.4828,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000285,Gd2O3,43.8,TEM,222.0,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,LDH,RAW264.7,Mouse,24h,1.6,96.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,248.4,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,LDH,RAW264.7,Mouse,24h,6.3,97.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000290,NiO,13.1,TEM,202.8,DLS,27.6,Zeta-potential,68.7,Estimation,-2.494,-3.57,-7.45,5.74,LDH,BEAS-2B,Human,24h,12.5,92.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,244.5,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,LDH,RAW264.7,Mouse,24h,200.0,98.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,24,25.0,15.1351,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,261.6,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,LDH,BEAS-2B,Human,24h,50.0,82.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,21.0,,133.0,,-9.42,,57.0,,-9.779,-4.16,-7.49,5.77,,ChangLiv,Normal,24,150.0,59.1287,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,52.0,,640.0,,29.4,,15.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,24,12.5,17.8688,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,228.3,,-10.7,,40.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,3,120.0,95.32,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,259.8,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,LDH,BEAS-2B,Human,24h,0.8,97.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,228.3,,-10.7,,40.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,3,100.0,94.97,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,60.0,,329.0,,-9.3,,7.34,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,24,20.0,79.7573,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000290,NiO,13.1,TEM,189.5,DLS,27.6,Zeta-potential,68.7,Estimation,-2.494,-3.57,-7.45,5.74,ATP,RAW264.7,Mouse,24h,12.5,96.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,248.4,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,ATP,RAW264.7,Mouse,24h,12.5,93.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,115.0,,360.0,,-10.0,,14.4,,-3.608,-3.89,-7.2,5.67,,HONDC,Normal,24,30.0,20.14,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,307.7,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,ATP,BEAS-2B,Human,24h,1.6,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,307.7,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,LDH,BEAS-2B,Human,24h,100.0,98.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,RAW264.7,Mouse,24h,0.8,82.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,RAW264.7,Mouse,24h,200.0,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000285,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,LDH,BEAS-2B,Human,24h,25.0,96.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,21.0,,74.0,,-9.42,,57.0,,-9.779,-4.16,-7.49,5.77,,ChangLiv,Normal,24,1e-05,95.6434,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000281,CoO,71.8,TEM,208.3,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,ATP,BEAS-2B,Human,24h,25.0,59.9,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,206.3,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,BEAS-2B,Human,24h,3.2,94.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,150.0,151.1111,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000288,La2O3,24.6,TEM,162.6,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,LDH,RAW264.7,Mouse,24h,6.3,86.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,3,100.0,82.2599,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,274.9,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,ATP,BEAS-2B,Human,24h,0.8,99.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,260.4,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,BEAS-2B,Human,24h,3.2,86.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,260.4,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,BEAS-2B,Human,24h,12.5,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,32.0,,1093.0,,21.6,,37.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,24,1.56,88.0825,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,195.5,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,LDH,RAW264.7,Mouse,24h,100.0,87.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,244.5,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,ATP,RAW264.7,Mouse,24h,50.0,88.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,40.0,76.7232,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
